code,name,signal_date,ret5,ret20,ret60,ret120,vol20,vol60,dd120,tsmom,rsi,adv20,amount_trend,last_close,momentum_score,risk_score,liquidity_flow_score,quality_score,growth_score,valuation_score,score,rank
600160,巨化股份,2026-07-02,0.07933070866141745,0.42674993494665614,0.6475360576923075,0.48309440086556665,0.7459560484966233,0.608338349183472,-0.2504080205176027,1,74.72291741151233,5375638226.35,0.8203533253476878,54.83,0.9347222222222222,0.3925925925925926,0.95,0.5,0.5,0.5,0.6375694444444444,1
601995,中金公司,2026-07-02,0.0022130013831258566,0.06715758468335764,0.11855510960172877,0.02663644091810702,0.4108134466895904,0.27574034169089995,-0.12853611645152468,1,70.45454545454544,1146324443.05,0.45937649585314766,36.23,0.763425925925926,0.8282407407407406,0.6916666666666667,0.5,0.5,0.5,0.6342592592592593,2
002422,科伦药业,2026-07-02,0.19237942978950162,0.33383010432190763,0.2486049107142856,0.5663283164158208,0.620656749813233,0.5071380312281191,-0.14536830357142907,1,69.76882039122705,913343186.6,0.22198995013696865,44.75,0.9143518518518519,0.5703703703703703,0.5898148148148148,0.5,0.5,0.5,0.623125,3
601658,邮储银行,2026-07-02,0.012244897959183598,-0.004016064257028162,-0.042471042471042386,-0.06766917293233088,0.23201450482494268,0.16653499328693522,-0.09665427509293752,0,42.55319148936171,872156727.55,0.2323860215133553,4.96,0.6087962962962964,0.9828703703703703,0.5921296296296297,0.5,0.5,0.5,0.6088425925925927,4
300661,圣邦股份,2026-07-02,0.026901938096615563,0.3003663003663004,1.1099554234769688,1.0364262154022659,0.6804299736034904,0.6412770341217807,-0.20240532241555811,1,79.29276839757887,2648303085.65,-0.08430472111498688,142.0,0.9388888888888889,0.4287037037037036,0.549074074074074,0.5,0.5,0.5,0.6039351851851852,5
002049,紫光国微,2026-07-02,-0.04174790687005392,0.08774899101679456,0.27246420956442274,0.11578525641025639,0.5344666821096558,0.48736301892006756,-0.2615296803652973,1,70.7121364092277,3205934823.8,0.13929837817514779,83.55,0.7722222222222221,0.525,0.7847222222222223,0.5,0.5,0.5,0.6002777777777778,6
600584,长电科技,2026-07-02,-0.07862148411250836,0.19915042478760614,1.4968782518210202,1.6238381629305634,0.9688081557481908,0.7876721529562113,-0.2721217887725978,1,67.64232401580566,18488036488.15,0.4029453111971213,95.98,0.8412037037037037,0.22592592592592592,0.9449074074074073,0.5,0.5,0.5,0.5886805555555555,7
600549,厦门钨业,2026-07-02,-0.043209876543209846,0.3776622505450278,0.5488310708898945,1.0379558422227735,0.8874374086444734,0.7282030823229156,-0.36310208253481524,1,63.86950782575901,8291408854.25,0.5773345501640508,82.15,0.8513888888888888,0.14907407407407408,0.9569444444444445,0.5,0.5,0.5,0.5809027777777778,8
600674,川投能源,2026-07-02,0.04394812680115279,-0.06274256144890045,-0.04608294930875567,0.03573981415296634,0.26765188145350527,0.23864762084518357,-0.14584615384615413,0,31.654676258992822,564198520.95,0.0530129983300347,14.49,0.5967592592592592,0.9208333333333332,0.43518518518518523,0.5,0.5,0.5,0.5808333333333333,9
000657,中钨高新,2026-07-02,-0.08185087055261175,0.35308883000976166,1.1015811132770197,2.409346451159522,0.8508633685321313,0.7711321421585823,-0.3310634598667053,1,65.45189504373177,9312623762.05,0.38174782274476793,97.03,0.8481481481481481,0.17685185185185184,0.9203703703703705,0.5,0.5,0.5,0.5806018518518519,10
600460,士兰微,2026-07-02,0.012835940633774579,0.45533141210374617,1.004763795156808,0.8048606147248034,0.7776997618237594,0.6263405132751906,-0.27294117647058846,1,80.92857142857144,6497764890.25,0.7906964471684661,50.5,0.7474074074074074,0.3171296296296296,0.9560185185185186,0.5,0.5,0.5,0.5800231481481481,11
600522,中天科技,2026-07-02,-0.2425844346549192,0.14673188083592703,0.7592087312414733,1.849723756906077,0.9482919189078707,0.8297597417607526,-0.24258443465491936,0,52.86103542234333,18626887666.5,0.4114087413391294,51.58,0.7564814814814815,0.28055555555555556,0.9541666666666667,0.5,0.5,0.5,0.5766203703703705,12
601456,国联民生,2026-07-02,-0.02600216684723733,0.026255707762557146,-0.005530973451327359,-0.1220703125,0.4009504329692393,0.28204262776277833,-0.16015625000000044,0,43.921568627450974,488657303.1,0.4968085348655018,8.99,0.5791666666666666,0.8148148148148148,0.5625,0.5,0.5,0.5,0.5732638888888889,13
002600,领益智造,2026-07-02,-0.03914988814317666,0.1561238223418573,0.3711093375897845,0.10553410553410547,0.8211393417064622,0.6208362041871276,-0.3244128891316218,1,66.79280983916746,4542904633.95,0.27414703250684824,17.18,0.7939814814814815,0.25046296296296294,0.8662037037037038,0.5,0.5,0.5,0.5726851851851852,14
600183,生益科技,2026-07-02,-0.18830128205128205,0.08295916185589047,1.9596805609661079,1.0875120208819888,0.8622963789900884,0.7030896956152725,-0.3072459856969371,0,51.004888647474196,13300140197.75,0.5035808097474159,151.95,0.7592592592592593,0.2263888888888889,0.9689814814814816,0.5,0.5,0.5,0.5706712962962963,15
002463,沪电股份,2026-07-02,-0.15794567391444625,0.00546995377503845,0.7190463645943097,0.7086933752291176,0.9032749612225577,0.7443116493502211,-0.16515787149481148,0,51.83187461835945,13044091169.05,0.3100788208255978,130.51,0.6949074074074074,0.3601851851851851,0.9263888888888889,0.5,0.5,0.5,0.5703935185185186,16
601816,京沪高铁,2026-07-02,0.0,-0.09486166007905128,-0.10371819960861062,-0.12092130518234168,0.2281304992518982,0.18817761247946033,-0.12379110251450688,0,26.43678160919538,991115357.1,0.18375087023749215,4.58,0.45578703703703705,0.9662037037037037,0.6069444444444445,0.5,0.5,0.5,0.5695717592592593,17
601916,浙商银行,2026-07-02,-0.05244755244755239,-0.07508532423208203,-0.04577464788732388,-0.07191780821917804,0.25012438591050706,0.16923474412496278,-0.12040133779264223,0,28.57142857142857,477584039.15,0.41601408752802294,2.71,0.4745370370370371,0.9680555555555556,0.5449074074074074,0.5,0.5,0.5,0.5683333333333335,18
600941,中国移动,2026-07-02,0.006271379703534752,-0.09912209064924449,-0.032664693631480946,-0.10287689336179728,0.17217646814294113,0.1696202134058,-0.1285034908428615,0,22.58522727272731,911981472.0,-0.010423221777727254,88.25,0.5060185185185185,0.9777777777777776,0.4305555555555556,0.5,0.5,0.5,0.5662268518518518,19
601059,信达证券,2026-07-02,0.012277470841006721,-0.019036287923854922,0.0018226002430132837,-0.07203151378728201,0.3705278832468036,0.24766486708896734,-0.18935236004390776,0,71.2871287128713,193111074.45,0.09198777825194226,16.49,0.6180555555555556,0.8388888888888889,0.34305555555555556,0.5,0.5,0.5,0.5646527777777779,20
002353,杰瑞股份,2026-07-02,-0.10231790104580751,0.03090321674392471,0.36539534883720926,0.9776340609000269,0.7085239964651161,0.6649217600730964,-0.24957800819869777,0,51.14771106211906,3146814160.05,0.14151794690658281,146.78,0.7115740740740741,0.37129629629629624,0.7837962962962963,0.5,0.5,0.5,0.5619675925925927,21
600150,中国船舶,2026-07-02,-0.027455420322671897,-0.054225158271401064,0.11197411003236257,0.02444841979725698,0.41905141078899794,0.41896637287911076,-0.2162856408939123,0,49.6069868995633,3552107449.3,-0.1256492131545287,34.36,0.5962962962962963,0.7032407407407407,0.5592592592592593,0.5,0.5,0.5,0.5604861111111111,22
