code,name,signal_date,ret5,ret20,ret60,ret120,vol20,vol60,dd120,tsmom,rsi,adv20,amount_trend,last_close,momentum_score,risk_score,liquidity_flow_score,quality_score,growth_score,valuation_score,score,rank
601995,中金公司,2026-07-01,0.0720205773078022,0.09358600583090393,0.14779681762545893,0.053651685393258264,0.38994824503685044,0.26629909549325786,-0.12853611645152407,1,74.02101241642791,1081855439.55,0.42528825744388676,37.51,0.8013888888888888,0.849537037037037,0.6699074074074074,0.5,0.5,0.5,0.6447685185185185,1
600160,巨化股份,2026-07-01,0.1009264734870885,0.4747821494586746,0.6164978292329959,0.4953145917001338,0.7332010864798472,0.6130489971770656,-0.2504080205176029,1,78.34645669291338,5236922170.15,0.8386764150226849,55.85,0.924537037037037,0.3861111111111111,0.9490740740740742,0.5,0.5,0.5,0.6339583333333334,2
600584,长电科技,2026-07-01,0.1260823653643084,0.41676630795801795,1.7031685678073507,1.9009793253536453,0.8913507676209586,0.7547413939057805,-0.27212178877259763,1,77.32976409570018,18867145863.75,0.46394895517041324,106.64,0.9717592592592592,0.23750000000000002,0.9666666666666668,0.5,0.5,0.5,0.6252314814814816,3
002049,紫光国微,2026-07-01,0.03683705303575713,0.13817175974710216,0.286628945801072,0.1260099035704978,0.515715470901348,0.48430705579700745,-0.261529680365297,1,73.87355920363257,3135308576.6,0.13870268219575488,86.41,0.8375,0.5388888888888889,0.7712962962962964,0.5,0.5,0.5,0.6173379629629631,4
002463,沪电股份,2026-07-01,0.011580048831531187,0.10694656488549614,0.8374303091738469,1.0295311406578023,0.82132187438682,0.7154179232177061,-0.1651578714948114,1,58.238993710691815,13156467709.2,0.33862064488550603,145.01,0.8666666666666668,0.3722222222222222,0.9263888888888889,0.5,0.5,0.5,0.615138888888889,5
002422,科伦药业,2026-07-01,0.11569148936170226,0.19007092198581566,0.1753992715046233,0.45306546588153807,0.6281729219178748,0.4901024366598824,-0.14536830357142888,1,66.20278330019882,828176762.8,0.14994073315319434,41.95,0.8773148148148148,0.5777777777777777,0.549537037037037,0.5,0.5,0.5,0.6109490740740741,6
601658,邮储银行,2026-07-01,0.00203252032520318,-0.015968063872255467,-0.03522504892367917,-0.0662878787878789,0.2317037057400778,0.16857230882862975,-0.09665427509293684,0,41.9354838709677,869597347.7,0.21787770501153636,4.93,0.575,0.9763888888888889,0.5972222222222223,0.5,0.5,0.5,0.5999305555555555,7
600522,中天科技,2026-07-01,-0.10482959134227099,0.29214269060387044,0.9005486968449932,2.0119565217391306,0.9115882349530834,0.8129140330133087,-0.18619676945668137,1,56.96743192738922,18841162855.05,0.44671086908994084,55.42,0.8194444444444445,0.3162037037037037,0.9532407407407408,0.5,0.5,0.5,0.5976157407407408,8
000988,华工科技,2026-07-01,0.03371254988385264,0.16476510067114103,0.6596538204073827,1.1545623836126633,0.7452021620023852,0.7423548750416209,-0.256126540917867,1,62.402480496099216,12709846448.45,-0.008234293305215745,173.55,0.8972222222222223,0.3037037037037037,0.7462962962962963,0.5,0.5,0.5,0.5944907407407407,9
600549,厦门钨业,2026-07-01,0.022521980007226272,0.5308330328164443,0.5256064690026956,1.0798628123468887,0.8892012694508659,0.7322650307323989,-0.3631020825348152,1,69.81791429096928,8254856887.55,0.6005748986026129,84.9,0.9092592592592592,0.13657407407407407,0.9569444444444445,0.5,0.5,0.5,0.5934953703703704,10
